2024-10-11 15:33:57 INFO: Connecting to 149.154.167.51:443/TcpFull...
2024-10-11 15:33:59 INFO: Connection to 149.154.167.51:443/TcpFull complete!
2024-10-11 15:34:00 INFO: Phone migrated to 4
2024-10-11 15:34:00 INFO: Reconnecting to new data center 4
2024-10-11 15:34:00 INFO: Disconnecting from 149.154.167.51:443/TcpFull...
2024-10-11 15:34:00 INFO: Disconnection from 149.154.167.51:443/TcpFull complete!
2024-10-11 15:34:00 INFO: Connecting to 149.154.167.92:443/TcpFull...
2024-10-11 15:34:03 INFO: Connection to 149.154.167.92:443/TcpFull complete!
2024-10-11 15:34:47 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:34:52 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:34:57 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:35:02 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:35:13 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:35:18 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:35:20 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:35:24 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:35:31 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:35:34 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:35:41 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:35:45 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:35:48 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:35:51 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:35:55 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:35:59 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:36:03 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:36:07 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:36:15 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:36:23 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:36:32 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:36:40 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:36:47 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:36:56 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:37:11 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:37:19 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:37:32 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:37:42 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:38:00 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:38:12 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:38:29 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:38:41 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:38:50 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:38:59 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:39:05 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:39:24 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:39:38 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:39:47 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:39:58 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:40:15 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:40:22 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:40:32 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:40:44 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:41:04 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:41:16 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:41:28 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:41:28 INFO: Got difference for account updates
2024-10-11 15:41:48 INFO: Got difference for channel 1444141760 updates
2024-10-11 15:41:55 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:42:05 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:42:09 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:42:15 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:42:23 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:42:27 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:42:34 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:42:44 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:42:50 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:43:01 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:43:09 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:43:13 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:43:20 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:43:30 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:43:46 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:44:00 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:44:11 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:44:15 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:44:23 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:44:31 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:44:33 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:44:37 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:44:40 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:44:44 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:44:50 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:44:55 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:45:00 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:45:07 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:45:10 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:45:18 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:45:22 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:45:25 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
